Timestamp;Condition;Participant no.;I felt in control of the fisherman's actions.;I felt in control... [while trying to reel in the fish (performing the key sequence).];I felt in control... [when the fish was tugging away from me (moving a column away).];I felt in control... [when the fish escaped.];In this condition...;How much frustration did you feel... [during this condition?];How much frustration did you feel... [overall since we started the experiment?];How much frustration did you feel... [while you were trying to reel in the fish (perform the key sequence)];How much frustration did you feel... [while the fish was tugging away from you (moving a column away)];How much frustration did you feel... [when the fish escaped?];In this condition...;How likely do you think you were to succeed in reeling the fish up by one lane in this condition? Provide the answer on a scale of 1 - 100.;Blame
08-05-2020 10:31;1;1;4;3;1;1;;5;1;5;5;6;;60;System
08-05-2020 10:34;1;2;6;6;5;5;I felt more in control than in the previous condition.;5;1;6;2;1;I felt the same amount of control in both conditions.;70;System
08-05-2020 11:51;1;3;4;3;4;4;I felt less in control than in the previous condition.;5;3;5;3;3;I felt more frustrated than in the previous condition.;60;System
08-05-2020 12:12;1;4;2;2;2;2;I felt less in control than in the previous condition.;6;3;5;5;4;I felt more frustrated than in the previous condition.;40;Self
08-05-2020 14:16;1;5;6;6;6;5;I felt more in control than in the previous condition.;2;3;2;3;4;I felt the same level of frustration in both conditions.;75;Self
08-05-2020 15:02;1;8;7;7;5;5;;1;1;1;2;2;;67;Self
08-05-2020 15:08;1;7;6;5;2;1;I felt the same amount of control in both conditions.;2;1;4;5;5;I felt less frustrated than in the previous condition.;70;
08-05-2020 18:10;1;9;5;4;5;7;I felt more in control than in the previous condition.;4;4;5;5;4;I felt less frustrated than in the previous condition.;60;Self
09-05-2020 11:42;1;12;6;6;5;5;I felt more in control than in the previous condition.;2;3;2;3;3;I felt less frustrated than in the previous condition.;70;
09-05-2020 18:06;1;11;1;1;7;7;I felt the same amount of control in both conditions.;1;1;2;1;1;I felt less frustrated than in the previous condition.;25;System
09-05-2020 18:30;1;10;3;3;2;2;;2;2;1;2;3;;25;System
10-05-2020 11:27;1;14;5;5;5;4;I felt more in control than in the previous condition.;3;4;3;4;5;I felt less frustrated than in the previous condition.;80;System
11-05-2020 09:41;1;13;5;3;3;3;I felt more in control than in the previous condition.;2;2;4;5;5;I felt less frustrated than in the previous condition.;70;Self
11-05-2020 10:29;1;18;3;3;3;1;;3;2;4;5;6;;70;System
11-05-2020 10:36;1;15;5;5;1;1;I felt less in control than in the previous condition.;4;3;4;5;6;I felt more frustrated than in the previous condition.;40;
11-05-2020 11:43;1;16;5;3;2;3;;4;4;5;4;3;;60;Self
11-05-2020 11:52;1;17;2;2;3;3;I felt less in control than in the previous condition.;4;2;4;2;2;I felt more frustrated than in the previous condition.;40;
